# basal spacing [nm], hydration energy
201
0.980071466688947, 4.180236634336903
0.9830142203516994, 4.16039670347764
0.9859569740144519, 4.149372482358974
0.9888997276772046, 4.13841921061417
0.9918424813399569, 4.127484707873226
0.9947852350027095, 4.116562617912451
0.9977279886654618, 4.105651017923205
1.0006707423282144, 4.094742605814707
1.0036134959909668, 4.083803947544709
1.0065562496537195, 4.072834769904771
1.009499003316472, 4.0618348152206005
1.0124417569792243, 4.050803840150961
1.0153845106419768, 4.039735750680909
1.0183272643047292, 4.028626988492846
1.0212700179674818, 4.017477555467569
1.0242127716302343, 4.006287453592522
1.027155525292987, 3.9950566849583624
1.0300982789557391, 3.9837852517556476
1.0330410326184918, 3.972473156271633
1.0359837862812442, 3.961120400887178
1.0389265399439969, 3.949726988073756
1.0418692936067493, 3.9382929203905706
1.0448120472695017, 3.926818200481759
1.0477548009322541, 3.9153028310736984
1.0506975545950066, 3.9037468149723904
1.0536403082577592, 3.8921501550609423
1.0565830619205117, 3.880512854297125
1.0595258155832643, 3.8688344790226514
1.0624685692460165, 3.857113664760676
1.0654113229087692, 3.845350420389434
1.0683540765715216, 3.8335447547533996
1.0712968302342742, 3.8216966766635374
1.0742395838970267, 3.809806194897559
1.077182337559779, 3.7978733182001703
1.0801250912225315, 3.7858980552833197
1.083067844885284, 3.7738804148264418
1.0860105985480366, 3.7618204054767
1.088953352210789, 3.7497180358492233
1.0918961058735417, 3.7375733145273444
1.094838859536294, 3.725386250062834
1.0977816131990465, 3.713156850976128
1.100724366861799, 3.7008765240039216
1.1036671205245516, 3.6885388401897727
1.106609874187304, 3.6761443599279273
1.1095526278500565, 3.663693225663072
1.112495381512809, 3.651185452285746
1.1154381351755613, 3.6386210546154336
1.118380888838314, 3.6260000474012335
1.1213236425010664, 3.6133224453225314
1.124266396163819, 3.60058826298965
1.1272091498265713, 3.5877975149445
1.130151903489324, 3.5749502156612127
1.1330946571520764, 3.5620463795467745
1.136037410814829, 3.5490860209416426
1.1389801644775814, 3.5360691541203595
1.1419229181403339, 3.523003612337632
1.1448656718030863, 3.5098910959056306
1.1478084254658387, 3.4967314917894172
1.1507511791285914, 3.4835212853521105
1.1536939327913438, 3.4702578491972766
1.1566366864540965, 3.4569411841779725
1.1595794401168487, 3.443571291369186
1.1625221937796013, 3.430148172060056
1.1654649474423537, 3.4166718277463946
1.1684077011051064, 3.403142260123494
1.1713504547678588, 3.3895603170178643
1.1742932084306112, 3.3759261785569636
1.1772359620933637, 3.3622398375593243
1.180178715756116, 3.348501287268108
1.1831214694188688, 3.334710521336309
1.1860642230816212, 3.320867533812562
1.1890069767443738, 3.3069723191275275
1.191949730407126, 3.293024872080826
1.1948924840698787, 3.2790251878284984
1.1978352377326311, 3.2649732618709595
1.2007779913953838, 3.250763955368163
1.2037207450581362, 3.236385896333989
1.2066634987208886, 3.221850839616574
1.209606252383641, 3.2071605247042734
1.2125490060463937, 3.1923183549837684
1.2154917597091461, 3.177327629573262
1.2184345133718986, 3.162182550169835
1.2213772670346512, 3.146882511423375
1.2243200206974034, 3.1314275026557947
1.227262774360156, 3.1158175184681642
1.2302055280229087, 3.100054627583232
1.2331482816856612, 3.084145691764447
1.2360910353484136, 3.0680904494162053
1.239033789011166, 3.051885731361237
1.2419765426739184, 3.035523996713069
1.244919296336671, 3.015064014685423
1.2478620499994235, 2.990443293374412
1.250804803662176, 2.9618921727913166
1.2537475573249286, 2.930042295947953
1.2566903109876808, 2.8949013513679245
1.2596330646504335, 2.856464835562746
1.262575818313186, 2.8147384172975243
1.2655185719759385, 2.769727625154067
1.268461325638691, 2.7216524949109906
1.2714040793014434, 2.67095500745741
1.2743468329641958, 2.6176391612480274
1.2772895866269485, 2.5616942966698955
1.280232340289701, 2.503690379284368
1.2831750939524533, 2.4453371204886936
1.286117847615206, 2.3866346410985186
1.2890606012779582, 2.3275830613292285
1.2920033549407108, 2.2683177189401516
1.2949461086034635, 2.2104743254472363
1.297888862266216, 2.154031916102613
1.3008316159289683, 2.0989879186607383
1.3037743695917208, 2.0453422037417504
1.3067171232544732, 1.993094642128853
1.3096598769172259, 1.946093768596737
1.3126026305799783, 1.9078107527452417
1.3155453842427307, 1.8742311448140099
1.3184881379054831, 1.8427014397518273
1.3214308915682356, 1.8132214504673752
1.3243736452309882, 1.7857909901031928
1.3273163988937409, 1.7604098720351598
1.3302591525564933, 1.7370194517404334
1.3332019062192457, 1.7140459174232905
1.3361446598819982, 1.6914892306323628
1.3390874135447506, 1.6693493529644015
1.3420301672075032, 1.64762624606417
1.3449729208702557, 1.6263198716243379
1.347915674533008, 1.6054301913853752
1.3508584281957605, 1.5849571671354465
1.353801181858513, 1.5649007607103063
1.3567439355212656, 1.5452609339931929
1.359686689184018, 1.5260376489147252
1.3626294428467707, 1.5071792680029719
1.365572196509523, 1.4883764290498103
1.3685149501722755, 1.4696291264607422
1.371457703835028, 1.4509373546484403
1.3744004574977806, 1.4323011080327315
1.377343211160533, 1.413720381040581
1.3802859648232855, 1.395195168106077
1.383228718486038, 1.376725463670414
1.3861714721487903, 1.3583112621818778
1.389114225811543, 1.3399525580958291
1.3920569794742956, 1.3216493458746885
1.394999733137048, 1.3034016199879206
1.3979424867998005, 1.2852093749120175
1.400885240462553, 1.2670726051304848
1.4038279941253053, 1.2489913051338248
1.406770747788058, 1.2309654694195227
1.4097135014508104, 1.2129950924920285
1.4126562551135629, 1.1950801688627442
1.4155990087763153, 1.1772206930500073
1.4185417624390677, 1.159416659579076
1.4214845161018204, 1.1416680629821132
