27
# relative humidity, basal spacing[A](measured, stair-case fitted)
0.0, 9.80071466688947, 10.000000001895675
0.08199613389485752, 9.803800244571951, 10.000007054384126
0.13475209527295104, 9.844300508168676, 10.00067141458813
0.18836382635491952, 9.931722198328126, 10.018100370440134
0.21676513760121147, 9.973242815527538, 10.080650671465687
0.24358347152609838, 10.106024110571749, 10.23638015659053
0.272755067931398, 10.5587223901888, 10.588154898352274
0.2894262758323664, 11.012815389629186, 10.83579193008146
0.3060323690482154, 11.365895479241587, 11.171276154875304
0.3246834765732567, 11.461408544437198, 11.510364940873224
0.3442518439570879, 11.659973613713902, 11.81184509977614
0.3849167169041653, 12.01165608018889, 12.248848097610773
0.40919778907282045, 12.081481590206412, 12.346720860601357
0.4312823596923968, 12.12826430287437, 12.381899627688279
0.4804723089063857, 12.265938166023275, 12.399328583540285
0.5268513443337219, 12.352636124501528, 12.399983711090032
0.5628476230285612, 12.465543105625066, 12.39999952358836
0.5974561415987962, 12.537345288643051, 12.399999990661371
0.6652816853485521, 12.724685500518847, 12.408855790524402
0.7032006142128879, 12.923219762407294, 12.985018452876991
0.7365428306656636, 14.58830619285764, 14.662079294952646
0.7776654817775381, 14.984096774555162, 15.194947054041988
0.8162640825457755, 15.164360642255012, 15.199998089281817
0.860354734583355, 15.310760415861033, 15.199999991521665
0.9039093367263764, 15.457859081683372, 15.199999991521665
0.950431867304499, 15.591339430239131, 15.199999991521665
1.002220079118057, 15.686221992394447, 15.199999991521665
