Xa,522.36604,493.55008,8.857143,8.857143
Xb,632.72517,369.55385,8.857143,8.857143
origin,301.2857,554.98649,8.857143,8.857143
p1,301.2857,505.34369,8.857143,8.857143
p2,346.53081,505.15239,8.857143,8.857143
p3,375.64132,502.64145,8.857143,8.857143
p4,405.22404,497.22147,8.857143,8.857143
p5,420.89576,494.64727,8.857143,8.857143
p6,435.694,486.41508,8.857143,8.857143
p7,451.79076,458.34864,8.857143,8.857143
p8,460.98986,430.19573,8.857143,8.857143
p9,470.15303,408.30543,8.857143,8.857143
p10,480.44463,402.3838,8.857143,8.857143
p11,491.24237,390.07314,8.857143,8.857143
p12,513.68107,368.26949,8.857143,8.857143
p13,527.07926,363.94044,8.857143,8.857143
p14,539.26543,361.04,8.857143,8.857143
p15,566.40823,352.50448,8.857143,8.857143
p16,591.99998,347.12937,8.857143,8.857143
p17,611.86257,340.12935,8.857143,8.857143
p18,630.9594,335.67775,8.857143,8.857143
p19,668.38524,324.06301,8.857143,8.857143
p20,689.30874,311.75426,8.857143,8.857143
p21,707.70683,208.52204,8.857143,8.857143
p22,730.39813,183.98377,8.857143,8.857143
p23,751.69667,172.80775,8.857143,8.857143
p24,776.0257,163.73124,8.857143,8.857143
p25,800.05894,154.6114,8.857143,8.857143
p26,825.72987,146.33587,8.857143,8.857143
p27,854.30638,140.45333,8.857143,8.857143
